No,Style Name,Category,Keywords,Mood,Description,Specs,Shape Pool,When To Use,Avoid For,Hints,Recommendations,Era
1,modern-geometric-typographic,editorial,"modern, typographic, high-contrast, geometric, minimalist, dynamic, sophisticated, all caps, grid, layered typography","modern, sophisticated, dynamic, sharp, intellectual","This style is defined by sleek, high-contrast compositions featuring bold, geometric sans-serif typography arranged dynamically within structured or layered layouts, often with a minimalist aesthetic.","Employs all-caps geometric sans-serifs with extreme size contrast, frequently incorporating grid systems, overlapping text, or subtle 3D depth effects to create visual tension and hierarchy.","thick rule, 3d letterforms, wavy form, stacked rectangles, thick letterforms, curved line, circle, geometric icon","Perfect for contemporary branding, event posters, editorial spreads, and digital interfaces that demand a clean, impactful, and intellectually stimulating visual statement.","Inappropriate for themes requiring warmth, historical context, softness, or organic shapes, or for projects where legibility of long text passages is paramount.","Emphasize stark black and white or monochromatic palettes, play with scale and negative space, and utilize precise geometric forms to build compelling visual architecture.","Prompt with 'geometric sans-serif, all caps, extreme size contrast, high-contrast poster, grid layout, modern editorial, minimalist typography, 3D text effect.'",2010s-Present
2,conceptual-narrative,editorial,"conceptual, narrative, intellectual, high-contrast, dimensional, textured, impactful, cinematic, typographic hierarchy, editorial","serious, intellectual, complex, dramatic, introspective","Combines conceptual, often high-contrast imagery with strong narrative elements, featuring dimensional textures and sophisticated compositions to convey complex, serious themes.","Dominant use of all caps, display sans-serifs with extreme size contrast and hierarchical stacking, often incorporating 3D or layered effects on text.","thick rules, organic curves, puzzle pieces, organic forms, rectangles, splatter, rectangular text blocks, implied squares","Ideal for posters, covers, or editorial spreads for intellectual, dramatic, or suspenseful content like film festivals, philosophical conferences, or art exhibitions.","This style is unsuitable for light-hearted, whimsical, or overtly commercial applications that require a bright or playful tone.","Focus on conceptual metaphors, dramatic lighting, textured backgrounds, and bold, highly contrasted typography with clear visual hierarchy.","Use models proficient in photorealistic rendering, 3D text effects, and dramatic lighting, emphasizing texture and depth.",2010s-Present
3,dynamic-typographic-abstraction,expressive,"abstract, high-contrast, modern, dynamic, typographic display, distorted type, generative, graphic, fluid forms, all caps","modern, abstract, dynamic, intriguing, sophisticated","A cutting-edge style defined by stark high-contrast compositions, abstract forms, and dynamically manipulated typography that often acts as the primary visual element, evoking a sense of modern intrigue.","Features prominently oversized and often distorted display typography, typically in all caps, with stark scale contrast and sometimes fluid or vertical orientations, creating dynamic layouts.","thick rule, organic curves, thin rules, circle, organic curve, abstract form, organic swirl, vertical text block","Ideal for impactful event posters, avant-garde editorial layouts, contemporary branding, and digital campaigns requiring a sophisticated, energetic edge.","Not suitable for conveying traditional or conservative messages, designs requiring high legibility at small scales, or projects aiming for a subdued aesthetic.","Experiment with extreme typographic scale, fluid distortions, high-contrast monochromatic palettes, and interplay between abstract graphic elements and strong negative space.","Utilize models proficient in abstract art generation and precise typographic control, often benefiting from post-processing for fine-tuning distortions and high-contrast effects.",2010s-Present
4,modern-editorial-typographic,editorial,"editorial, high-contrast, minimalist, modern, typographic, digital, sophisticated, display typography, clean, graphic","sophisticated, elegant, modern, serene, editorial","A sophisticated and modern editorial style characterized by stark high-contrast visuals and minimalist compositions, creating an elegant and striking aesthetic.","Features extreme size contrast in display typography, often utilizing all caps and a mix of modern serif and sans-serif fonts in clean layouts.","rotated text block, rectangle, circle, cuboid, organic curves, circular forms, triangle, thick rule","Ideal for fashion editorials, brand identity, art exhibition posters, or any project requiring a refined and impactful visual statement.","Avoid for projects needing warmth, organic textures, historical authenticity, or a playful, casual tone.","Experiment with stark black and white palettes with minimal accent colors, large-scale typography as a primary graphic element, and ample negative space to emphasize contrast.","Best rendered with precise, clean AI models like Midjourney (stylize higher), Stable Diffusion (with specific LoRAs for clean typography), or Dall-E for crisp lines and text.",2010s-Present
5,digital-typo-futurism,experimental,"digital art, high-contrast, futuristic, geometric, experimental typography, 3D text, abstract, bold, modern, dynamic","energetic, futuristic, intense, modern, dynamic","This style blends high-contrast digital art with futuristic, often abstract or geometric visuals, emphasizing experimental and dynamic typography to create an intense and modern aesthetic.","Typography predominantly features geometric sans-serifs in all caps with extreme size contrast, frequently employing 3D effects like extrusion or inflation, or dynamic layouts with rotated and vertical text.","thick rule, circle, rectangle, diagonal line, barcode, rounded rectangle, triangle, geometric shapes","Ideal for event posters, music artwork, tech branding, or anything requiring a cutting-edge, high-energy digital presence.","Not suitable for traditional, vintage, soft, or human-centric themes that require warmth or subtlety.","Focus on digital art techniques, geometric shapes, high-contrast lighting, and explicitly request 3D or dynamically arranged sans-serif typography.","Midjourney (V5.2+), Stable Diffusion (SDXL) for strong typographic control and rendering digital aesthetics.",2010s-Present
6,cultural-narrative-collage,editorial,"cultural fusion, editorial collage, dynamic narrative, aspirational, mixed scripts, illustrative, fantasy elements, vintage-modern blend","aspirational, vibrant, cultural, dreamlike, dynamic","This style blends rich East Asian cultural narratives with modern editorial layouts, often featuring intricate illustrations, dynamic photo collages, and a harmonious mix of traditional and contemporary design elements.","Typography features a dynamic interplay of East Asian and Latin scripts, frequently utilizing extreme size contrast, vertical stacking, and a diverse blend of serif, sans-serif, and calligraphic fonts.","circle, rectangle, thick rule, wave pattern, bar code, flowing curvilinear forms, lotus flower shape, rectangular text blocks","Ideal for projects requiring a sophisticated fusion of cultural heritage and contemporary design, such as high-end fashion campaigns, art exhibitions, travel promotions, or compelling fantasy narratives.","Avoid for projects demanding stark minimalism, purely data-driven presentations, or when a simple, straightforward message needs to be conveyed without visual complexity.","Focus prompts on specific East Asian cultural motifs, combined with terms like 'editorial collage,' 'dynamic layered layout,' and 'mixed traditional-modern typography with diverse scripts'.","Works best with models adept at generating detailed illustrations, integrating photographic elements seamlessly, and rendering complex multi-script typography with high fidelity.",2010s-Present
7,urban-editorial-dynamism,expressive,"editorial, high-contrast, urban, modern, energetic, edgy, graphic design, geometric sans, extreme typography, streetwear","energetic, modern, edgy, cool, aspirational","This style merges sophisticated editorial design principles with raw urban energy, characterized by high-contrast visuals, dynamic layouts, and a distinctly modern, edgy aesthetic.","Typographically, it relies on bold geometric sans-serifs, almost exclusively in all caps with extreme size contrast, frequently layered, integrated into imagery, or accented by custom scripts and graffiti elements.","thick rule, rectangle, text block, circle, human figure, rectangular text blocks, curved lines, implied grids","Ideal for event posters, music festivals, fashion campaigns, or digital art projects targeting a youthful, urban audience with a strong sense of style.","Not suitable for formal, corporate, or minimalist branding requiring a subdued, traditional, or highly conservative visual identity.","Focus on dynamic compositions, the interplay of crisp typography with distressed or textured urban elements, and a limited, high-impact color palette to enhance visual tension.","Use models like `Midjourney v5.2+`, `DALL-E 3`, or `Stable Diffusion XL` with terms like 'graphic design poster', 'editorial typography', 'streetwear aesthetic', 'high contrast', and 'bold geometric sans-serif'.",2010s-Present
8,deconstructed-editorial,expressive,"high-contrast, distressed, editorial, experimental, deconstructed, fragmented, expressive typography, punk aesthetic, grungy textures, dynamic layouts","intense, edgy, rebellious, dramatic, powerful","This style blends aggressive typography with high-contrast, distressed textures and deconstructed layouts for a raw, impactful, and editorially experimental aesthetic.","Features extreme size contrast, all-caps geometric sans-serifs (often distressed or fragmented), within dynamic and sometimes broken grid compositions.","circle, rectangle, rotated text block, text blocks, organic curves, thick rule, arrow, cut paper edges","Ideal for counter-culture branding, music events, fashion campaigns, or any project demanding a bold, rebellious, and visually striking statement.","Avoid for corporate communications, delicate aesthetics, minimalist design, or contexts requiring subtlety and traditional elegance.","Utilize stark black and white with pops of color, layer distressed textures, play with deconstructed or fragmented typography, and experiment with photo collage elements.","Employ aggressive contrast settings, explore grunge/punk/cyberpunk-influenced prompts, and leverage image collage techniques for varied results.",Late 20th Century Revival to Present
9,surreal-ethereal-dreamscapes,expressive,"surreal, ethereal, cosmic, futuristic, dreamlike, fantasy, illustrative, modern, immersive, inspirational","mysterious, ethereal, contemplative, dreamlike, inspirational","A style characterized by imaginative, other-worldly visuals, blending surrealism with cosmic or futuristic elements, often evoking a sense of mystery, contemplation, or inspiration.","Typography features significant size contrast, often mixing serif display with clean geometric sans-serifs, and sometimes includes decorative or brush script elements, with vertical layouts or subtle hierarchies.","circle, organic shapes, rectangle, thin rule, curved path, organic blob, angular forms, lines","Ideal for projects requiring imaginative storytelling, introspective themes, or a sense of wonder and other-worldliness, such as album art, conceptual campaigns, or event posters.","Not suitable for practical information delivery, corporate communication, or contexts requiring straightforward, objective clarity due to its artistic and evocative nature.","Leverage AI tools for generating complex dreamlike scenes, experiment with atmospheric lighting, and layer abstract or surreal elements with legible typography.","Midjourney excels in producing ethereal and surreal imagery, while DALL-E and Stable Diffusion can provide diverse interpretations of cosmic and futuristic concepts.",2010s-Present
10,dynamic-layered-promo,expressive,"vibrant, photo-collage, layered, promotional, event-poster, bold-typography, geometric-sans, all-caps, high-contrast","energetic, vibrant, optimistic, inviting, playful","A vibrant and energetic style characterized by layered photographic elements and bold, high-contrast typography, often incorporating photo collages and torn paper effects for a dynamic, promotional feel.","Typographic elements primarily use bold, all-caps geometric sans-serifs with extreme size contrast, frequently integrated directly into layered imagery and compositions.","irregular blob, pin icon, crown, circle, rounded rectangle, irregular organic shapes, architectural forms, curved lines","Perfect for event posters, music festival promotions, lively advertising, or any project requiring an adventurous and inviting visual impact.","Unsuitable for minimalist branding, corporate reports, luxury advertisements, or designs that require a subdued or formal aesthetic.","Prompt for dynamic compositions, overlapping photographic elements, integrated text and imagery, and high-saturation color palettes to achieve maximum vibrancy.","Utilize prompts emphasizing 'event poster', 'promotional art', 'photo collage', and 'layered design' with models capable of detailed graphic composition.",2010s-Present
