No,Palette Name,Hex Colors,Color Mood,Contrast Level,Pairs With Styles,When To Use
1,palette-01,#FFFFFF #000000 #AAAAAA #444444 #3F3F3F,"modern, mysterious, serious",high,"modern-geometric-typographic, conceptual-layered-editorial, urban-editorial-dynamism, conceptual-narrative","When the modern, mysterious, serious mood suits the message."
2,palette-02,#000000 #FFFFFF #EDEDED #A8784D #333130,"modern, energetic, artistic",high,"conceptual-narrative, modern-geometric-typographic, deconstructed-editorial, digital-typo-futurism","When the modern, energetic, artistic mood suits the message."
3,palette-03,#FFFFFF #000000 #48D1CC #FF4500 #8A2BE2,"modern, mysterious, editorial",high,"oriental-fantasy-epic, urban-editorial-dynamism, dynamic-typographic-abstraction, modern-editorial-typographic","When the modern, mysterious, editorial mood suits the message."
4,palette-04,#FFFFFF #000000 #C9D0D4 #818D95 #DCE2E6,"sophisticated, energetic, modern",high,"dynamic-typographic-abstraction, modern-editorial-typographic, digital-typo-futurism, dynamic-layered-promo","When the sophisticated, energetic, modern mood suits the message."
5,palette-05,#000000 #4A00E0 #FF8C00 #FFFFFF #8E2DE2,"energetic, mysterious, futuristic",high,digital-typo-futurism,"When the energetic, mysterious, futuristic mood suits the message."
6,palette-06,#FFFFFF #000000 #747A8B #D9725C #DBD6C8,"futuristic, nostalgic, contemplative",high,"digital-typo-futurism, cultural-narrative-collage, deconstructed-editorial, anime-type-fusion","When the futuristic, nostalgic, contemplative mood suits the message."
7,palette-07,#FFFFFF #000000 #CCCCCC #666666 #C0BFBC,"energetic, modern, youthful",high,"digital-typo-futurism, urban-editorial-dynamism, surreal-ethereal-dreamscapes, conceptual-narrative","When the energetic, modern, youthful mood suits the message."
8,palette-08,#008D8E #81C0DA #2F7D32 #1F3E5E #FFFFFF,"adventurous, inviting, energetic",medium,"dynamic-layered-promo, conceptual-layered-editorial","When the adventurous, inviting, energetic mood suits the message."
9,palette-09,#FFFFFF #000000 #151515 #6277F7 #C2C2C2,"modern, conceptual, mysterious",high,"conceptual-layered-editorial, modern-editorial-typographic","When the modern, conceptual, mysterious mood suits the message."
10,palette-10,#FFD700 #FFFFFF #1A0D30 #D7CFFF #FFF7E6,"energetic, modern, electronic",high,"cultural-narrative-collage, digital-typo-futurism, dynamic-typographic-abstraction, urban-dissent-collage","When the energetic, modern, electronic mood suits the message."
11,palette-11,#FFFFFF #1A1A1A #FF6600 #F0F0F0 #808080,"modern, energetic, urban",high,"urban-editorial-dynamism, cultural-narrative-collage, abstract-editorial-sans, surreal-ethereal-dreamscapes","When the modern, energetic, urban mood suits the message."
12,palette-12,#FFFFFF #000000 #FF00FF #A0D0E0 #8000FF,"futuristic, elegant, serene",high,"digital-typo-futurism, modern-editorial-typographic","When the futuristic, elegant, serene mood suits the message."
13,palette-13,#FFFFFF #E0E0E0 #A0A0A0 #333333 #FDFDFD,"dreamy, serene, modern",low,"dreamy-editorial-exploration, modern-geometric-typographic, anime-type-fusion, modern-editorial-texture","When the dreamy, serene, modern mood suits the message."
14,palette-14,#FFFFFF #000000 #F5F0E1 #0A0A0A #D32D43,"energetic, intense, bold",high,"conceptual-layered-editorial, deconstructed-editorial, urban-editorial-dynamism, urban-dissent-collage","When the energetic, intense, bold mood suits the message."
15,palette-15,#000000 #D7C8B0 #432314 #886A4D #F7A247,"serious, introspective, complex",high,"conceptual-narrative, conceptual-layered-editorial, deconstructed-editorial","When the serious, introspective, complex mood suits the message."
16,palette-16,#FFFFFF #F5F1E7 #2C2E3C #A6446B #CD7B98,"futuristic, nostalgic, calm",low,"digital-typo-futurism, deconstructed-editorial, surreal-ethereal-dreamscapes","When the futuristic, nostalgic, calm mood suits the message."
